corp_code,recddate,filename'
100390,2014-04-11 00:00:00.000,AstraZeneca_Pharma_India_Ltd_Delisting 110414.pdf'
101314,2014-04-11 00:00:00.000,EID_Parry_India_Ltd_Dir Appointment 110414.pdf'
105048,2014-04-11 00:00:00.000,Tata_Motors_Ltd_OPERATIONAL DATA 110414.pdf'
105088,2014-04-12 00:00:00.000,Thomas_Cook_(India)_Ltd_capital raising 120414.pdf'
100867,2014-04-14 00:00:00.000,Chambal_Breweries_&_Distilleries_Ltd_Loan 140414.pdf'
102683,2014-04-14 00:00:00.000,KSB_Pumps_Ltd_AGM 140414.pdf'
100834,2014-04-14 00:00:00.000,Ceat_Ltd_Operational Data 140414.pdf'
100595,1995-02-14 00:00:00.000,EGM Notice for Cum Pref Share on PVT Placement-14.02.1995.pdf'
100595,1995-11-11 00:00:00.000,11-11-1995-EGM Notice for transfer of Wheel Rim Divn-11-11-1995.pdf'
100595,1994-06-20 00:00:00.000,EGM Notice for Conv Securities notes-20-06-1994.pdf'
100595,1993-10-30 00:00:00.000,EGM Notice-30-10-1993_FCCB Bonds issue.pdf'
105114,2014-04-15 00:00:00.000,Tata_Steel_Ltd1_operational data 150414.pdf'
103345,2014-04-16 00:00:00.000,Nestle_India_Ltd_AGM 160414.pdf'
555853,2014-04-15 00:00:00.000,United Spirits_Open offer_NSE 150414.pdf'
102361,2014-04-15 00:00:00.000,JB_Chemicals_&_Pharmaceuticals_Ltd_merger 150414.pdf'
105114,2014-04-15 00:00:00.000,Tata_Steel_Ltd_operational data 150414.pdf'
103381,2014-04-17 00:00:00.000,Piramal_Enterprises_Ltd_Acquisition 170414.pdf'
101342,2014-04-17 00:00:00.000,Electrosteel_Castings_Ltd_pref allt 170414.pdf'
105114,2014-04-17 00:00:00.000,Tata_Steel_Ltd_MERGER 170414.pdf'
104891,2014-04-21 00:00:00.000,Supreme_Petrochem_Ltd_BUYBACK 210414.pdf'
102738,2014-04-21 00:00:00.000,Larsen_&_Toubro_Ltd_OTHERS 210414.pdf'
105019,2014-04-21 00:00:00.000,Tata_Power_Company_Ltd_Rights 210414.pdf'
556406,2014-04-21 00:00:00.000,Titagarh_Wagons_Ltd_ACQUISITION 210414.pdf'
104856,2014-04-21 00:00:00.000,Sun_Pharmaceutical_Industries_Ltd_DEMERGER 210414.pdf'
101108,2014-04-16 00:00:00.000,DCM SHRIRAM LTD_Acquistion_NSE 160414.pdf'
557076,2014-04-22 00:00:00.000,Muthoot Finance Ltd QIP 28.04.14.pdf'
100818,2014-04-22 00:00:00.000,Castrol_India_Ltd_AGM 220414.pdf'
100595,2005-10-21 00:00:00.000,Bharat Forge notice for conv of warrants-IE 21-10-2005.pdf'
100595,2000-10-03 00:00:00.000,Bharat Forge_Scheme of arrangement with BF Utilities 3.10.2000.pdf'
105215,2001-10-11 00:00:00.000,TVS Motor_EGM Notice for trnsfr of shares from Suzuki to SCL-11.10.2001.pdf'
556951,2014-04-22 00:00:00.000,Prestige_Estates_Projects_Ltd_OPERATIONAL DATA Q4 FY 2014 220414.pdf'
556058,2014-02-25 00:00:00.000,Suzlon_Energy_Ltd_DEMERGER 250214.pdf'
555737,2014-02-25 00:00:00.000,Indian_Overseas_Bank_CAPITAL RAISING 260214.pdf'
107402,2014-02-26 00:00:00.000,JSW_Steel_Ltd_OPERATIONAL DATA 260214.pdf'
100271,2014-02-26 00:00:00.000,Apollo_Tyres_Ltd_OPERATIONAL DATA 260214.pdf'
556078,2014-02-27 00:00:00.000,PVR_Ltd_RESTRUCTURE 270214.pdf'
555908,2014-02-27 00:00:00.000,Granules_India_Ltd_BM UPDATE MERGER 270214.pdf'
101312,2014-02-28 00:00:00.000,Eicher_Motors_Ltd1_AGM 280214.pdf'
108728,2014-02-28 00:00:00.000,Marico_Ltd_CAPITAL RAISING 280214.pdf'
100461,2014-02-28 00:00:00.000,Bajaj_Electricals_Ltd_OPERATIONAL DATA 280214.pdf'
102902,2014-03-01 00:00:00.000,Mahindra_&_Mahindra_Ltd_OPERATIONAL DATA 010314.pdf'
105215,2014-03-01 00:00:00.000,TVS_Motor_Company_Ltd_OPERATIONAL DATA 010314.pdf'
102980,2014-03-01 00:00:00.000,Maruti_Suzuki_India_Ltd_OPERATIONAL DATA 010314.pdf'
102544,1996-11-07 00:00:00.000,Whirlpool-EGM for Bonus Restructuring-7.11.96.pdf'
102544,1994-04-21 00:00:00.000,Whirlpool- Pref allotment-21-04-1994.pdf'
105048,2014-03-03 00:00:00.000,Tata_Motors_Ltd1_OPERATIONAL DATA 030314.pdf'
100031,2014-03-12 00:00:00.000,ACC_Ltd_AGM 120314.pdf'
102022,2014-03-12 00:00:00.000,Akzo_Nobel_India_Ltd_DIRECTORS APPOINTMENT 120314.pdf'
100344,2014-02-13 00:00:00.000,Ashok_Leyland_Ltd1_DIRECTORS APPOINTMENT 130214.pdf'
100344,2014-03-03 00:00:00.000,Ashok_Leyland_Ltd_OPERATIONAL DATA 030314.pdf'
102613,2007-04-19 00:00:00.000,Kirl Bros - Postal Ballot -190407.pdf'
100390,2014-03-03 00:00:00.000,AstraZeneca_Pharma_India_Ltd2_DELISTING 030314.pdf'
556418,2014-03-03 00:00:00.000,Bajaj_Auto_Ltd_OPERATIONAL DATA 030314.pdf'
102613,1994-03-18 00:00:00.000,Kirl Bros- EGM Notice-18.03.94.pdf'
103168,2005-03-31 00:00:00.000,Motherson-EGM Notice 310305.pdf'
